Código,Quantidade,Prancha,CATEGORIA,Impressão,Papel,Laminação,Hot,Clichê,Total,Unit
7899866830790,860,3,"KRAFT WIRE-O SEM PAUTA 21x28",663.61,513.25,371.52,, ,1548.37,1.80
7899866830813,930,2,"CADERNO DO BEBE BEBÊ 18x24",663.40,513.09,371.40,, ,1547.89,1.66
7899866830820,1220,3,"CICEROS SEM PAUTA 14x21",941.39,728.09,527.04,, ,2196.53,1.80
7899866830837,1110,1,"NOTAS MIX MIOLO TRI 14X21",1605.00,1543.06,760.32,, ,3908.38,3.52
7899866830844,1320,2,"CADERNO WIRE-O 17x24 - 1 MATÉRIA PAUTADO 17x24",941.60,728.25,527.16,, ,2197.01,1.66
